"Description","StockCode","Year","MonthNum","Quantity_Sold","Revenue","Avg_Price","Orders","abc_class","lag1_qty","lag2_qty","roll3_avg","Log_Quantity"
"12 EGG HOUSE PAINTED WOOD","22282",2011,11,19,227.85,12.4928571428571,7,"B",15,8,14,2.99573227355399
"12 EGG HOUSE PAINTED WOOD","22282",2011,12,2,25.5,12.75,1,"B",19,15,12,1.09861228866811
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,2,86,107.5,1.25,12,"B",54,21,53.6666666666667,4.46590811865458
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,3,161,201.25,1.25,16,"B",86,54,100.333333333333,5.08759633523238
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,4,35,43.75,1.25,7,"B",161,86,94,3.58351893845611
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,5,115,143.75,1.25,11,"B",35,161,103.666666666667,4.75359019110636
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,6,142,177.5,1.25,13,"B",115,35,97.3333333333333,4.96284463025991
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,7,38,47.5,1.25,8,"B",142,115,98.3333333333333,3.66356164612965
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,8,82,102.5,1.25,6,"B",38,142,87.3333333333333,4.4188406077966
"12 IVORY ROSE PEG PLACE SETTINGS","21447",2011,9,15,18.75,1.25,3,"B",82,38,45,2.77258872223978
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,2,119,184.35,1.625,8,"A",77,183,126.333333333333,4.78749174278205
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,3,59,97.35,1.65,6,"A",119,77,85,4.0943445622221
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,4,84,138.6,1.65,11,"A",59,119,87.3333333333333,4.44265125649032
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,5,213,339.45,1.63947368421053,19,"A",84,59,118.666666666667,5.36597601502185
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,6,89,146.85,1.65,15,"A",213,84,128.666666666667,4.49980967033027
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,7,79,130.35,1.65,13,"A",89,213,127,4.38202663467388
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,8,121,199.65,1.65,14,"A",79,89,96.3333333333333,4.80402104473326
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,9,103,157.95,1.62777777777778,9,"A",121,79,101,4.64439089914137
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,10,132,217.8,1.65,25,"A",103,121,118.666666666667,4.89034912822175
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,11,226,348.9,1.63787878787879,29,"A",132,103,153.666666666667,5.4249500174814
"12 MESSAGE CARDS WITH ENVELOPES","22906",2011,12,136,212.4,1.63571428571429,13,"A",226,132,164.666666666667,4.91998092582813
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,2,592,346.4,0.63,5,"A",162,263,339,6.38519439899773
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,3,212,131.8,0.644444444444444,17,"A",592,162,322,5.36129216570943
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,4,350,227.5,0.65,17,"A",212,592,384.666666666667,5.86078622346587
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,5,98,63.7,0.65,15,"A",350,212,220,4.59511985013459
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,6,124,80.6,0.65,12,"A",98,350,190.666666666667,4.8283137373023
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,7,5,3.25,0.65,2,"A",124,98,75.6666666666667,1.79175946922805
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,9,102,66.3,0.65,7,"A",5,124,77,4.63472898822964
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,10,512,338.2,0.686734693877551,48,"A",102,5,206.333333333333,6.24027584517077
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,11,1318,833.9,0.674468085106383,89,"A",512,102,644,7.18462915271731
"12 PENCIL SMALL TUBE WOODLAND","20973",2011,12,260,177.4,0.672222222222222,26,"A",1318,512,696.666666666667,5.56452040732269
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,2,275,178.75,0.65,15,"A",325,644,414.666666666667,5.62040086571715
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,3,1205,777.25,0.646875,31,"A",275,325,601.666666666667,7.09506437728713
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,4,425,276.25,0.65,23,"A",1205,275,635,6.05443934626937
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,5,570,370.5,0.65,29,"A",425,1205,733.333333333333,6.34738920965601
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,9,271,176.15,0.65,7,"A",570,425,422,5.605802066296
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,10,1507,926.75,0.646363636363636,53,"A",271,570,782.666666666667,7.3185395485679
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,11,871,566.15,0.65,75,"A",1507,271,883,6.77078942390898
"12 PENCILS SMALL TUBE RED RETROSPOT","20975",2011,12,300,195,0.65,18,"A",871,1507,892.666666666667,5.70711026474888
"12 PENCILS SMALL TUBE SKULL","20974",2011,2,168,109.2,0.65,10,"A",306,321,265,5.12989871492307
"12 PENCILS SMALL TUBE SKULL","20974",2011,3,896,576.4,0.646428571428571,27,"A",168,306,456.666666666667,6.7990558620588
"12 PENCILS SMALL TUBE SKULL","20974",2011,4,474,308.1,0.65,18,"A",896,168,512.666666666667,6.16331480403464
"12 PENCILS SMALL TUBE SKULL","20974",2011,5,522,339.3,0.65,27,"A",474,896,630.666666666667,6.25958146406492
"12 PENCILS SMALL TUBE SKULL","20974",2011,6,756,491.4,0.65,25,"A",522,474,584,6.62936325343745
"12 PENCILS SMALL TUBE SKULL","20974",2011,7,356,231.4,0.65,20,"A",756,522,544.666666666667,5.87773578177964
"12 PENCILS SMALL TUBE SKULL","20974",2011,8,1088,611.2,0.633333333333333,12,"A",356,756,733.333333333333,6.99301512293296
"12 PENCILS SMALL TUBE SKULL","20974",2011,9,348,226.2,0.65,25,"A",1088,356,597.333333333333,5.85507192220243
"12 PENCILS SMALL TUBE SKULL","20974",2011,10,870,563.9,0.648039215686275,50,"A",348,1088,768.666666666667,6.7696419768525
"12 PENCILS SMALL TUBE SKULL","20974",2011,11,610,358.1,0.646,24,"A",870,348,609.333333333333,6.4150969591716
"12 PENCILS SMALL TUBE SKULL","20974",2011,12,12,7.8,0.65,3,"A",610,870,497.333333333333,2.56494935746154
"12 PENCILS TALL TUBE POSY","20984",2011,2,2,1.7,0.85,2,"B",12,17,10.3333333333333,1.09861228866811
"12 PENCILS TALL TUBE POSY","20984",2011,3,39,33.15,0.85,4,"B",2,12,17.6666666666667,3.68887945411394
"12 PENCILS TALL TUBE POSY","20984",2011,4,12,10.2,0.85,1,"B",39,2,17.6666666666667,2.56494935746154
"12 PENCILS TALL TUBE POSY","20984",2011,5,30,25.5,0.85,5,"B",12,39,27,3.43398720448515
"12 PENCILS TALL TUBE POSY","20984",2011,6,1120,326.48,0.3075,30,"B",30,12,387.333333333333,7.02197642307216
"12 PENCILS TALL TUBE POSY","20984",2011,7,743,215.47,0.29,36,"B",1120,30,631,6.61204103483309
"12 PENCILS TALL TUBE POSY","20984",2011,8,567,164.43,0.29,31,"B",743,1120,810,6.34212141872115
"12 PENCILS TALL TUBE POSY","20984",2011,9,1046,303.34,0.29,32,"B",567,743,785.333333333333,6.95368421087054
"12 PENCILS TALL TUBE POSY","20984",2011,10,194,56.26,0.29,17,"B",1046,567,602.333333333333,5.27299955856375
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,2,177,150.45,0.85,9,"B",64,146,129,5.18178355029209
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,3,184,156.4,0.85,13,"B",177,64,141.666666666667,5.22035582507833
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,4,142,120.7,0.85,13,"B",184,177,167.666666666667,4.96284463025991
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,5,156,132.6,0.85,16,"B",142,184,160.666666666667,5.05624580534831
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,6,114,96.9,0.85,11,"B",156,142,137.333333333333,4.74493212836325
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,7,245,208.25,0.85,11,"B",114,156,171.666666666667,5.50533153593236
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,8,231,190.11,0.844347826086956,21,"B",245,114,196.666666666667,5.44673737166631
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,9,363,308.55,0.85,30,"B",231,245,279.666666666667,5.89715386763674
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,10,227,192.95,0.85,28,"B",363,231,273.666666666667,5.42934562895444
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,11,542,460.7,0.85,51,"B",227,363,377.333333333333,6.29710931993394
"12 PENCILS TALL TUBE RED RETROSPOT","20983",2011,12,52,44.2,0.85,4,"B",542,227,273.666666666667,3.97029191355212
"12 PENCILS TALL TUBE SKULLS","20982",2011,2,41,34.85,0.85,5,"B",39,142,74,3.73766961828337
"12 PENCILS TALL TUBE SKULLS","20982",2011,3,114,96.9,0.85,10,"B",41,39,64.6666666666667,4.74493212836325
"12 PENCILS TALL TUBE SKULLS","20982",2011,4,138,117.3,0.85,10,"B",114,41,97.6666666666667,4.93447393313069
"12 PENCILS TALL TUBE SKULLS","20982",2011,5,81,68.85,0.85,11,"B",138,114,111,4.40671924726425
"12 PENCILS TALL TUBE SKULLS","20982",2011,6,38,32.3,0.85,5,"B",81,138,85.6666666666667,3.66356164612965
"12 PENCILS TALL TUBE SKULLS","20982",2011,7,84,71.4,0.85,14,"B",38,81,67.6666666666667,4.44265125649032
"12 PENCILS TALL TUBE SKULLS","20982",2011,8,128,102.56,0.839166666666667,12,"B",84,38,83.3333333333333,4.85981240436167
"12 PENCILS TALL TUBE SKULLS","20982",2011,9,221,187.85,0.85,25,"B",128,84,144.333333333333,5.40267738187228
"12 PENCILS TALL TUBE SKULLS","20982",2011,10,256,217.6,0.85,22,"B",221,128,201.666666666667,5.54907608489522
"12 PENCILS TALL TUBE SKULLS","20982",2011,11,638,542.3,0.85,62,"B",256,221,371.666666666667,6.45990445437753
"12 PENCILS TALL TUBE SKULLS","20982",2011,12,94,79.9,0.85,10,"B",638,256,329.333333333333,4.55387689160054
"12 PENCILS TALL TUBE WOODLAND","20981",2011,2,41,34.85,0.85,6,"B",44,101,62,3.73766961828337
"12 PENCILS TALL TUBE WOODLAND","20981",2011,3,89,75.65,0.85,9,"B",41,44,58,4.49980967033027
"12 PENCILS TALL TUBE WOODLAND","20981",2011,4,144,122.4,0.85,11,"B",89,41,91.3333333333333,4.97673374242057
"12 PENCILS TALL TUBE WOODLAND","20981",2011,5,241,204.85,0.85,22,"B",144,89,158,5.48893772615669
"12 PENCILS TALL TUBE WOODLAND","20981",2011,6,30,25.5,0.85,6,"B",241,144,138.333333333333,3.43398720448515
"12 PENCILS TALL TUBE WOODLAND","20981",2011,7,167,141.95,0.85,18,"B",30,241,146,5.12396397940326
"12 PENCILS TALL TUBE WOODLAND","20981",2011,8,152,129.2,0.85,20,"B",167,30,116.333333333333,5.03043792139244
"12 PENCILS TALL TUBE WOODLAND","20981",2011,9,277,235.45,0.85,26,"B",152,167,198.666666666667,5.62762111369064
"12 PENCILS TALL TUBE WOODLAND","20981",2011,10,131,111.35,0.85,18,"B",277,152,186.666666666667,4.88280192258637
"12 PENCILS TALL TUBE WOODLAND","20981",2011,11,381,323.85,0.85,44,"B",131,277,263,5.94542060860658
"12 PENCILS TALL TUBE WOODLAND","20981",2011,12,51,43.35,0.85,5,"B",381,131,187.666666666667,3.95124371858143
"12 PINK HEN+CHICKS IN BASKET","84461",2011,3,18,45.9,2.55,7,"C",1,1,6.66666666666667,2.94443897916644
"12 PINK HEN+CHICKS IN BASKET","84461",2011,4,21,53.55,2.55,5,"C",18,1,13.3333333333333,3.09104245335832
"12 PINK ROSE PEG PLACE SETTINGS","21445",2011,2,20,25,1.25,5,"C",58,16,31.3333333333333,3.04452243772342
"12 PINK ROSE PEG PLACE SETTINGS","21445",2011,3,118,147.5,1.25,6,"C",20,58,65.3333333333333,4.77912349311153
"12 PINK ROSE PEG PLACE SETTINGS","21445",2011,4,1,1.25,1.25,1,"C",118,20,46.3333333333333,0.693147180559945
"12 PINK ROSE PEG PLACE SETTINGS","21445",2011,7,1,1.25,1.25,1,"C",1,118,40,0.693147180559945
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,2,48,60,1.25,7,"C",47,9,34.6666666666667,3.89182029811063
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,3,16,20,1.25,3,"C",48,47,37,2.83321334405622
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,4,48,60,1.25,5,"C",16,48,37.3333333333333,3.89182029811063
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,5,15,18.75,1.25,6,"C",48,16,26.3333333333333,2.77258872223978
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,6,35,43.75,1.25,4,"C",15,48,32.6666666666667,3.58351893845611
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,7,10,12.5,1.25,5,"C",35,15,20,2.39789527279837
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,8,5,6.25,1.25,3,"C",10,35,16.6666666666667,1.79175946922805
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,9,85,106.25,1.25,9,"C",5,10,33.3333333333333,4.45434729625351
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,10,13,16.25,1.25,4,"C",85,5,34.3333333333333,2.63905732961526
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,11,49,61.25,1.25,10,"C",13,85,49,3.91202300542815
"12 RED ROSE PEG PLACE SETTINGS","21446",2011,12,12,15,1.25,4,"C",49,13,24.6666666666667,2.56494935746154
"15 PINK FLUFFY CHICKS IN BOX","84465",2011,3,6,17.7,2.95,4,"C",1,2,3,1.94591014905531
"15 PINK FLUFFY CHICKS IN BOX","84465",2011,11,1,2.95,2.95,1,"C",6,1,2.66666666666667,0.693147180559945
"15CM CHRISTMAS GLASS BALL 20 LIGHTS","85048",2011,5,2,15.9,7.95,1,"A",2,84,29.3333333333333,1.09861228866811
"15CM CHRISTMAS GLASS BALL 20 LIGHTS","85048",2011,7,20,147,7.7,4,"A",2,2,8,3.04452243772342
"15CM CHRISTMAS GLASS BALL 20 LIGHTS","85048",2011,8,14,111.3,7.95,5,"A",20,2,12,2.70805020110221
"15CM CHRISTMAS GLASS BALL 20 LIGHTS","85048",2011,9,325,2367.75,7.68913043478261,46,"A",14,20,119.666666666667,5.78689738136671
"15CM CHRISTMAS GLASS BALL 20 LIGHTS","85048",2011,10,177,1335.15,7.78333333333333,36,"A",325,14,172,5.18178355029209
"15CM CHRISTMAS GLASS BALL 20 LIGHTS","85048",2011,11,604,4423.8,7.7316091954023,85,"A",177,325,368.666666666667,6.40522845803084
"15CM CHRISTMAS GLASS BALL 20 LIGHTS","85048",2011,12,38,302.1,7.95,11,"A",604,177,273,3.66356164612965
"16 PIECE CUTLERY SET PANTRY DESIGN","23253",2011,6,44,619,15.5666666666667,9,"A",74,1,39.6666666666667,3.80666248977032
"16 PIECE CUTLERY SET PANTRY DESIGN","23253",2011,7,20,319,15.95,6,"A",44,74,46,3.04452243772342
"16 PIECE CUTLERY SET PANTRY DESIGN","23253",2011,8,17,271.15,15.95,7,"A",20,44,27,2.89037175789616
"16 PIECE CUTLERY SET PANTRY DESIGN","23253",2011,9,30,395.7,14.8,3,"A",17,20,22.3333333333333,3.43398720448515
"16 PIECE CUTLERY SET PANTRY DESIGN","23253",2011,10,9,143.55,15.95,5,"A",30,17,18.6666666666667,2.30258509299405
"16 PIECE CUTLERY SET PANTRY DESIGN","23253",2011,11,13,207.35,15.95,5,"A",9,30,17.3333333333333,2.63905732961526
"16 PIECE CUTLERY SET PANTRY DESIGN","23253",2011,12,2,31.9,15.95,1,"A",13,9,8,1.09861228866811
"18PC WOODEN CUTLERY SET DISPOSABLE","23124",2011,8,32,40,1.25,2,"C",330,124,162,3.49650756146648
"18PC WOODEN CUTLERY SET DISPOSABLE","23124",2011,9,16,20,1.25,1,"C",32,330,126,2.83321334405622
"18PC WOODEN CUTLERY SET DISPOSABLE","23124",2011,10,1,1.25,1.25,1,"C",16,32,16.3333333333333,0.693147180559945
"2 PICTURE BOOK EGGS EASTER BUNNY","21458",2011,3,72,90,1.25,9,"C",28,31,43.6666666666667,4.29045944114839
"2 PICTURE BOOK EGGS EASTER BUNNY","21458",2011,4,15,18.75,1.25,2,"C",72,28,38.3333333333333,2.77258872223978
"2 PICTURE BOOK EGGS EASTER BUNNY","21458",2011,11,12,15,1.25,1,"C",15,72,33,2.56494935746154
"2 PICTURE BOOK EGGS EASTER CHICKS","21456",2011,3,74,92.5,1.25,9,"C",58,14,48.6666666666667,4.31748811353631
"2 PICTURE BOOK EGGS EASTER CHICKS","21456",2011,4,3,3.75,1.25,1,"C",74,58,45,1.38629436111989
"2 PICTURE BOOK EGGS EASTER CHICKS","21456",2011,12,12,15,1.25,1,"C",3,74,29.6666666666667,2.56494935746154
"2 PICTURE BOOK EGGS EASTER DUCKS","21457",2011,3,33,41.25,1.25,4,"C",43,10,28.6666666666667,3.52636052461616
"2 PICTURE BOOK EGGS EASTER DUCKS","21457",2011,4,17,21.25,1.25,3,"C",33,43,31,2.89037175789616
"2 PICTURE BOOK EGGS EASTER DUCKS","21457",2011,11,12,15,1.25,1,"C",17,33,20.6666666666667,2.56494935746154
"20 DOLLY PEGS RETROSPOT","22567",2011,2,231,279.63,1.2424,25,"A",85,374,230,5.44673737166631
"20 DOLLY PEGS RETROSPOT","22567",2011,3,177,221.25,1.25,21,"A",231,85,164.333333333333,5.18178355029209
"20 DOLLY PEGS RETROSPOT","22567",2011,4,732,925,1.37727272727273,11,"A",177,231,380,6.59714570188665
"20 DOLLY PEGS RETROSPOT","22567",2011,6,6,8.7,1.45,2,"A",732,177,305,1.94591014905531
"20 DOLLY PEGS RETROSPOT","22567",2011,7,73,105.85,1.45,12,"A",6,732,270.333333333333,4.30406509320417
"20 DOLLY PEGS RETROSPOT","22567",2011,8,198,277.5,1.43666666666667,15,"A",73,6,92.3333333333333,5.29330482472449
"20 DOLLY PEGS RETROSPOT","22567",2011,9,116,168.2,1.45,14,"A",198,73,129,4.76217393479776
"20 DOLLY PEGS RETROSPOT","22567",2011,10,206,279.5,1.43947368421053,18,"A",116,198,173.333333333333,5.33271879326537
"20 DOLLY PEGS RETROSPOT","22567",2011,11,115,166.75,1.45,24,"A",206,116,145.666666666667,4.75359019110636
"20 DOLLY PEGS RETROSPOT","22567",2011,12,33,47.85,1.45,6,"A",115,206,118,3.52636052461616
"200 BENDY SKULL STRAWS","22316",2011,2,2,2.5,1.25,2,"C",14,40,18.6666666666667,1.09861228866811
"200 BENDY SKULL STRAWS","22316",2011,3,15,18.75,1.25,2,"C",2,14,10.3333333333333,2.77258872223978
"200 BENDY SKULL STRAWS","22316",2011,4,194,206.02,1.18666666666667,3,"C",15,2,70.3333333333333,5.27299955856375
"200 BENDY SKULL STRAWS","22316",2011,5,218,236.02,1.212,5,"C",194,15,142.333333333333,5.3890717298165
"200 BENDY SKULL STRAWS","22316",2011,6,17,21.25,1.25,3,"C",218,194,143,2.89037175789616
"200 BENDY SKULL STRAWS","22316",2011,7,4,5,1.25,4,"C",17,218,79.6666666666667,1.6094379124341
"200 BENDY SKULL STRAWS","22316",2011,8,101,108.01,1.212,5,"C",4,17,40.6666666666667,4.62497281328427
"200 BENDY SKULL STRAWS","22316",2011,9,2,2.5,1.25,2,"C",101,4,35.6666666666667,1.09861228866811
"200 BENDY SKULL STRAWS","22316",2011,11,27,33.75,1.25,4,"C",2,101,43.3333333333333,3.3322045101752
"200 BENDY SKULL STRAWS","22316",2011,12,3,3.75,1.25,2,"C",27,2,10.6666666666667,1.38629436111989
"200 RED + WHITE BENDY STRAWS","22315",2011,2,44,55,1.25,9,"B",71,72,62.3333333333333,3.80666248977032
"200 RED + WHITE BENDY STRAWS","22315",2011,3,29,36.25,1.25,7,"B",44,71,48,3.40119738166216
"200 RED + WHITE BENDY STRAWS","22315",2011,4,110,119.26,1.2025,4,"B",29,44,61,4.70953020131233
"200 RED + WHITE BENDY STRAWS","22315",2011,5,34,42.5,1.25,12,"B",110,29,57.6666666666667,3.55534806148941
"200 RED + WHITE BENDY STRAWS","22315",2011,6,26,32.5,1.25,13,"B",34,110,56.6666666666667,3.29583686600433
"200 RED + WHITE BENDY STRAWS","22315",2011,7,85,106.25,1.25,12,"B",26,34,48.3333333333333,4.45434729625351
"200 RED + WHITE BENDY STRAWS","22315",2011,8,116,126.76,1.22625,8,"B",85,26,75.6666666666667,4.76217393479776
"200 RED + WHITE BENDY STRAWS","22315",2011,9,99,123.75,1.25,5,"B",116,85,100,4.60517018598809
"200 RED + WHITE BENDY STRAWS","22315",2011,10,29,36.25,1.25,7,"B",99,116,81.3333333333333,3.40119738166216
"200 RED + WHITE BENDY STRAWS","22315",2011,11,42,52.5,1.25,15,"B",29,99,56.6666666666667,3.76120011569356
"200 RED + WHITE BENDY STRAWS","22315",2011,12,2,2.5,1.25,2,"B",42,29,24.3333333333333,1.09861228866811
"3 DRAWER ANTIQUE WHITE WOOD CABINET","82486",2011,10,164,1439,8.91923076923077,52,"A",159,11,111.333333333333,5.10594547390058
"3 DRAWER ANTIQUE WHITE WOOD CABINET","82486",2011,11,283,2427.25,8.85985915492958,71,"A",164,159,202,5.64897423816121
"3 DRAWER ANTIQUE WHITE WOOD CABINET","82486",2011,12,90,774.78,9.23,16,"A",283,164,179,4.51085950651685
"3 GARDENIA MORRIS BOXED CANDLES","85034A",2011,2,2,8.5,4.25,1,"B",21,9,10.6666666666667,1.09861228866811
"3 GARDENIA MORRIS BOXED CANDLES","85034A",2011,3,4,17,4.25,1,"B",2,21,9,1.6094379124341
"3 GARDENIA MORRIS BOXED CANDLES","85034A",2011,5,8,34,4.25,2,"B",4,2,4.66666666666667,2.19722457733622
"3 GARDENIA MORRIS BOXED CANDLES","85034A",2011,6,1,4.25,4.25,1,"B",8,4,4.33333333333333,0.693147180559945
"3 GARDENIA MORRIS BOXED CANDLES","85034A",2011,7,1,4.25,4.25,1,"B",1,8,3.33333333333333,0.693147180559945
"3 GARDENIA MORRIS BOXED CANDLES","85034A",2011,8,4,17,4.25,1,"B",1,1,2,1.6094379124341
